fixed-pool-8-io-sleep-10ms-cpu5000,50,0.1079405,15061.718,16608.5,17178.2
fixed-pool-8-io-sleep-10ms-cpu5000,100,0.2006595,15323.422,16389.4,16471.0
fixed-pool-8-io-sleep-10ms-cpu5000,100,0.1970296,15030.123,16599.8,16956.3
fixed-pool-8-io-sleep-10ms-cpu5000,100,0.2016001,15336.372,16593.2,16703.1
fixed-pool-8-io-sleep-10ms-cpu5000,200,0.4021043,16033.25,17089.5,25094.9
fixed-pool-8-io-sleep-10ms-cpu5000,200,0.3855523,15331.158,16686.1,21445.3
fixed-pool-8-io-sleep-10ms-cpu5000,200,0.3828137,15208.3405,16231.9,16318.1
fixed-pool-8-mixed-sleep5ms-cpu500x50,50,0.0418371,5857.752,6987.6,7188.5
fixed-pool-8-mixed-sleep5ms-cpu500x50,50,0.0427417,6045.3,7067.3,7090.7
fixed-pool-8-mixed-sleep5ms-cpu500x50,50,0.0416462,5885.168,7662.0,7788.8
fixed-pool-8-mixed-sleep5ms-cpu500x50,100,0.0807026,6074.483,7104.1,7211.2
fixed-pool-8-mixed-sleep5ms-cpu500x50,100,0.078819,5869.11,6329.0,7024.4
fixed-pool-8-mixed-sleep5ms-cpu500x50,100,0.0810415,6031.166,6947.9,7227.0
fixed-pool-8-mixed-sleep5ms-cpu500x50,200,0.1528284,5916.5115,7010.8,7151.7
fixed-pool-8-mixed-sleep5ms-cpu500x50,200,0.154915,6074.7605,7070.7,7119.5
fixed-pool-8-mixed-sleep5ms-cpu500x50,200,0.1552564,6053.493,7118.6,7169.2
work-stealing-8-cpu-busy,1000,0.021304,139.10170000000002,151.0,360.5
work-stealing-8-cpu-busy,1000,0.0229368,131.10670000000002,137.6,311.2
work-stealing-8-cpu-busy,1000,0.0206543,132.9475,147.3,237.2
work-stealing-8-cpu-busy,10000,0.1977227,148.72673999999998,148.1,396.8
work-stealing-8-cpu-busy,10000,0.1782491,140.63797,143.0,204.9
work-stealing-8-cpu-busy,10000,0.1874343,145.05572,144.7,319.9
work-stealing-8-cpu-busy,50000,0.8293445,130.370902,144.6,168.5
work-stealing-8-cpu-busy,50000,0.8306069,130.96902599999999,144.4,174.3
work-stealing-8-cpu-busy,50000,0.8602502,136.00901000000002,144.2,175.4
work-stealing-8-io-sleep-10ms-cpu5000,50,0.1057464,15618.796,24861.7,25125.9
work-stealing-8-io-sleep-10ms-cpu5000,50,0.1055152,15754.618,22683.0,24354.2
