trial,model,workload,concurrencyLevel,ioBytesPerTask,numTasks,seconds,throughputTasksPerSec,avgLatencyMicros
2,work-stealing-2,io-file-rw-262144B-chunk131072,2,262144,32,0.006712167,4767.461834605724,403.8619375
3,work-stealing-2,io-file-rw-262144B-chunk131072,2,262144,32,0.006373625,5020.690737217831,379.91940625
1,virtual-threads,io-file-rw-262144B-chunk131072,2,262144,32,0.005687208,5626.662502936414,2240.828
2,virtual-threads,io-file-rw-262144B-chunk131072,2,262144,32,0.005272959,6068.698808392024,1653.063875
3,virtual-threads,io-file-rw-262144B-chunk131072,2,262144,32,0.005881167,5441.0969795620495,2046.1015625
1,fixed-pool-2,io-file-rw-1048576B-chunk131072,2,1048576,32,0.010888208,2938.9592851275434,660.75125
2,fixed-pool-2,io-file-rw-1048576B-chunk131072,2,1048576,32,0.01104525,2897.1729929155067,672.8138125
3,fixed-pool-2,io-file-rw-1048576B-chunk131072,2,1048576,32,0.011201084,2856.866353292235,679.1354375
1,work-stealing-2,io-file-rw-1048576B-chunk131072,2,1048576,32,0.018112959,1766.690908978483,1053.4374375
2,work-stealing-2,io-file-rw-1048576B-chunk131072,2,1048576,32,0.013860375,2308.7398428974684,844.7811875
3,work-stealing-2,io-file-rw-1048576B-chunk131072,2,1048576,32,0.012231,2616.302837053389,742.3439375
1,virtual-threads,io-file-rw-1048576B-chunk131072,2,1048576,32,0.009267166,3453.0513427729684,3117.746
2,virtual-threads,io-file-rw-1048576B-chunk131072,2,1048576,32,0.009057417,3533.0160905697508,3226.12509375
3,virtual-threads,io-file-rw-1048576B-chunk131072,2,1048576,32,0.009264916,3453.8899219377704,3674.06628125
1,fixed-pool-2,io-file-rw-4194304B-chunk131072,2,4194304,32,0.026672667,1199.7300457430822,1628.36334375
2,fixed-pool-2,io-file-rw-4194304B-chunk131072,2,4194304,32,0.028055667,1140.5895286681298,1715.49734375
3,fixed-pool-2,io-file-rw-4194304B-chunk131072,2,4194304,32,0.027197334,1176.5859109573018,1648.0599375
1,work-stealing-2,io-file-rw-4194304B-chunk131072,2,4194304,32,0.027854583,1148.8235167620353,1708.832125
2,work-stealing-2,io-file-rw-4194304B-chunk131072,2,4194304,32,0.026387542,1212.6934748223234,1605.062625
3,work-stealing-2,io-file-rw-4194304B-chunk131072,2,4194304,32,0.026722834,1197.477782483699,1631.9544375
1,virtual-threads,io-file-rw-4194304B-chunk131072,2,4194304,32,0.023931625,1337.1427974489823,8189.52340625
2,virtual-threads,io-file-rw-4194304B-chunk131072,2,4194304,32,0.024871584,1286.6088464651066,8317.2163125
3,virtual-threads,io-file-rw-4194304B-chunk131072,2,4194304,32,0.024192209,1322.7398953109243,8279.06246875
1,fixed-pool-4,io-file-rw-65536B-chunk131072,4,65536,32,0.004172209,7669.797941570042,478.796875
2,fixed-pool-4,io-file-rw-65536B-chunk131072,4,65536,32,0.00372,8602.150537634408,410.05465625
3,fixed-pool-4,io-file-rw-65536B-chunk131072,4,65536,32,0.003821458,8373.767289866852,445.52740625
1,work-stealing-4,io-file-rw-65536B-chunk131072,4,65536,32,0.003751291,8530.396602129773,438.16265625
2,work-stealing-4,io-file-rw-65536B-chunk131072,4,65536,32,0.004313666,7418.2841230637705,500.42184375
3,work-stealing-4,io-file-rw-65536B-chunk131072,4,65536,32,0.013844,2311.4706732158334,1692.6601875
1,virtual-threads,io-file-rw-65536B-chunk131072,4,65536,32,0.005955917,5372.808251021631,2844.66540625
2,virtual-threads,io-file-rw-65536B-chunk131072,4,65536,32,0.006004917,5328.966245495149,1989.26690625
